iter	Logloss
0	0.6872601509
1	0.6814073741
2	0.6754830528
3	0.6707478125
4	0.6649666998
5	0.660423758
6	0.6553019085
7	0.6510687947
8	0.6456871664
9	0.6406840402
10	0.6362157734
11	0.6314002682
12	0.6272955806
13	0.6227810194
14	0.6181747558
15	0.6136210489
16	0.6092588464
17	0.6051944153
18	0.6012560089
19	0.5973505794
20	0.5929875928
21	0.5888555987
22	0.5853593779
23	0.5814299005
24	0.5785340018
25	0.5749633392
26	0.5717984802
27	0.5677809175
28	0.5651061447
29	0.5618639874
30	0.5582146753
31	0.5553354802
32	0.5519597832
33	0.549382371
34	0.5478810818
35	0.5448951398
36	0.5420015658
37	0.5390268817
38	0.5360694819
39	0.5340275691
40	0.5315332363
41	0.5285693577
42	0.5264495016
43	0.5246174958
44	0.5221204386
45	0.5192292367
46	0.5167114126
47	0.5146763479
48	0.5123458298
49	0.5100736789
50	0.5079793524
51	0.5064037375
52	0.5042642736
53	0.502115305
54	0.4999562709
55	0.4977800135
56	0.4955991092
57	0.4937289333
58	0.4916230683
59	0.4900520447
60	0.488806401
61	0.4872845077
62	0.4856745574
63	0.4838882403
64	0.4818170427
65	0.4806489378
66	0.4788275386
67	0.4767181699
68	0.4751915333
69	0.4733501245
70	0.4718569377
71	0.4711920966
72	0.4697642439
73	0.4681862659
74	0.4665576421
75	0.4650429643
76	0.4638558105
77	0.4622025312
78	0.4610558879
79	0.4604950294
80	0.4590558663
81	0.4581162366
82	0.4570759664
83	0.4557525454
84	0.4542289831
85	0.4527379029
86	0.4513972421
87	0.4505711864
88	0.450108717
89	0.4487634764
90	0.4483202939
91	0.4472544453
92	0.4460967595
93	0.444759936
94	0.4435443062
95	0.4423276742
96	0.4414818183
97	0.4406593059
98	0.4399780284
99	0.4387972204
100	0.4376638965
101	0.4364768445
102	0.4361301981
103	0.4352830586
104	0.4342003974
105	0.4332184431
106	0.4322089289
107	0.4317574913
108	0.4311874333
109	0.430870442
110	0.4299945097
111	0.4289075444
112	0.4284053744
113	0.4274640291
114	0.4264592304
115	0.4254912054
116	0.4245490257
117	0.4236147787
118	0.422635932
119	0.4222335611
120	0.4212966443
121	0.4210622773
122	0.4200509748
123	0.4198257115
124	0.4192524092
125	0.4188259047
126	0.4184285317
127	0.4175750375
128	0.4169396754
129	0.4162459527
130	0.4153992455
131	0.4148053249
132	0.4140676897
133	0.4133648465
134	0.4125738422
135	0.4118461134
136	0.411031871
137	0.4105180557
138	0.4098827567
139	0.4092504518
140	0.4087213495
141	0.4081655316
142	0.4077141329
143	0.4071842635
144	0.4069941288
145	0.4065303962
146	0.4062737077
147	0.4061272416
148	0.405528245
149	0.4048526814
150	0.4043866897
151	0.4040384636
152	0.403577765
153	0.4032967113
154	0.4025696403
155	0.4022970883
156	0.4017448294
157	0.4011756301
158	0.4007674436
159	0.4002743915
160	0.399871777
161	0.3991994544
162	0.398712704
163	0.3986098895
164	0.3982362329
165	0.3976018912
166	0.3973171253
167	0.3967835168
168	0.3965027222
169	0.3960777346
170	0.395537192
171	0.3951930867
172	0.3947047458
173	0.3943239197
174	0.3938336535
175	0.3934632689
176	0.3931130932
177	0.3928588631
178	0.3924430913
179	0.3919436484
180	0.3914048026
181	0.390867647
182	0.3904126293
183	0.3898945748
184	0.3895983402
185	0.3891425659
186	0.3885821784
187	0.3882219831
188	0.3877716865
189	0.3874293735
190	0.3870737627
191	0.3866325552
192	0.3862087565
193	0.3861110943
194	0.385780815
195	0.3854711345
196	0.3851326059
197	0.3846700421
198	0.3844039824
199	0.3840002814
200	0.3835749258
201	0.3832425497
202	0.3830763837
203	0.3829799316
204	0.3827649637
205	0.3825311706
206	0.3821218501
