iter	Passed	Remaining
0	53	53238
1	58	29378
2	65	21686
3	70	17485
4	75	15078
5	77	12863
6	79	11278
7	81	10121
8	85	9442
9	88	8746
10	92	8331
11	96	7982
12	101	7737
13	106	7532
14	108	7141
15	110	6775
16	117	6804
17	119	6502
18	121	6258
19	130	6407
20	132	6155
21	133	5925
22	134	5711
23	136	5538
24	137	5355
25	138	5187
26	139	5036
27	140	4888
28	141	4738
29	143	4626
30	143	4498
31	144	4385
32	145	4277
33	147	4177
34	147	4067
35	149	3991
36	150	3911
37	151	3841
38	152	3769
39	154	3701
40	156	3650
41	157	3595
42	158	3536
43	160	3488
44	162	3443
45	164	3404
46	166	3377
47	167	3327
48	168	3275
49	169	3229
50	171	3194
51	172	3152
52	174	3113
53	175	3081
54	177	3048
55	178	3013
56	179	2976
57	181	2954
58	183	2925
59	184	2894
60	185	2856
61	186	2822
62	189	2812
63	191	2796
64	196	2825
65	197	2792
66	198	2763
67	199	2735
68	201	2713
69	202	2687
70	203	2664
71	204	2634
72	205	2615
73	207	2595
74	210	2591
75	211	2569
76	212	2548
77	214	2530
78	215	2511
79	216	2486
80	217	2468
81	218	2447
82	219	2428
83	221	2411
84	222	2397
85	224	2381
86	230	2414
87	231	2395
88	231	2373
89	233	2359
90	233	2336
91	235	2322
92	238	2321
93	239	2307
94	241	2305
95	244	2303
96	247	2302
97	251	2315
98	255	2323
99	258	2322
100	259	2310
101	261	2303
102	262	2285
103	268	2312
104	269	2298
105	270	2284
106	272	2270
107	272	2254
108	273	2237
109	274	2219
110	275	2206
111	276	2194
112	278	2188
113	280	2179
114	282	2170
115	283	2159
116	285	2150
117	286	2140
118	287	2129
119	288	2116
120	290	2107
121	290	2093
122	292	2083
123	292	2068
124	293	2055
125	294	2040
126	295	2029
127	296	2020
128	297	2011
129	299	2006
130	301	2000
131	303	1993
132	305	1993
133	308	1991
134	309	1983
135	310	1975
136	312	1971
137	314	1963
138	316	1958
139	317	1951
140	319	1943
141	320	1934
142	321	1925
143	322	1919
144	324	1912
145	327	1912
146	329	1909
147	330	1899
148	332	1896
149	335	1902
150	337	1895
151	338	1890
152	341	1889
153	344	1889
154	347	1892
155	348	1886
156	351	1886
157	352	1879
158	355	1879
159	356	1872
160	357	1865
161	359	1858
162	366	1883
163	367	1875
164	373	1892
165	374	1883
166	376	1876
167	377	1867
168	378	1859
169	381	1862
170	384	1863
171	385	1856
172	387	1851
173	390	1851
174	393	1857
175	397	1860
176	399	1859
177	403	1862
178	404	1855
179	405	1849
180	409	1851
181	414	1864
182	416	1858
183	417	1851
184	418	1845
185	420	1839
186	424	1844
187	425	1839
188	428	1839
189	429	1832
190	431	1826
191	432	1819
192	433	1813
193	434	1804
194	435	1798
195	437	1793
196	443	1806
197	448	1817
198	450	1812
199	451	1805
200	452	1799
201	454	1795
202	455	1788
203	456	1781
204	469	1822
205	472	1821
206	474	1819
207	479	1824
208	486	1840
209	487	1834
210	488	1825
211	489	1820
212	490	1812
213	491	1805
214	492	1799
215	494	1795
216	497	1794
217	498	1788
218	499	1780
219	500	1774
220	502	1770
221	503	1765
222	505	1760
223	506	1755
224	508	1750
225	510	1749
226	512	1744
227	514	1742
228	517	1742
229	518	1736
230	520	1731
231	521	1727
232	523	1723
233	526	1723
234	530	1725
235	531	1719
236	539	1736
237	544	1742
238	546	1740
239	548	1738
240	550	1734
241	552	1729
242	553	1724
243	559	1735
244	563	1736
245	567	1739
246	571	1741
247	572	1735
248	573	1729
249	575	1725
250	576	1721
