iter	RMSE
0	0.8846198913
1	0.8843184327
2	0.8840186721
3	0.8837317237
4	0.8834265669
5	0.8831571394
6	0.8828633617
7	0.882598312
8	0.8823186877
9	0.882046607
10	0.8817802122
11	0.8815324371
12	0.8812728467
13	0.8810008633
14	0.8807455727
15	0.8804937025
16	0.8802564995
17	0.8800439181
18	0.8797945578
19	0.8795369833
20	0.8793012212
21	0.8790653387
22	0.8788500083
23	0.8786477828
24	0.8784464195
25	0.8782110846
26	0.8779873204
27	0.8777620405
28	0.8775739403
29	0.8773575171
30	0.8771542737
31	0.8769419172
32	0.8767349312
33	0.87656324
34	0.8763578026
35	0.8761530071
36	0.875956674
37	0.8757666678
38	0.8755801893
39	0.875402747
40	0.8752211153
41	0.875043405
42	0.874886702
43	0.8747116992
44	0.8745559029
45	0.8743907905
46	0.8742285545
47	0.8740609463
48	0.873889191
49	0.8737240294
50	0.8735662417
51	0.8734097854
52	0.8732628989
53	0.8731128124
54	0.8729613285
55	0.8727983094
56	0.872662243
57	0.8725159328
58	0.8723835593
59	0.8722490873
60	0.8721030634
61	0.8719796452
62	0.8718430537
63	0.8717088694
64	0.8715842709
65	0.8714450663
66	0.8713243748
67	0.8711900185
68	0.8710605532
69	0.8709398788
70	0.8708203224
71	0.8706960919
72	0.87056696
73	0.8704220762
74	0.8703183097
75	0.870197964
76	0.8700687279
77	0.8699517417
78	0.8698332556
79	0.8697248967
80	0.8696041811
81	0.8695086026
82	0.8694095451
83	0.8693020279
84	0.8691849307
85	0.8690715319
86	0.8689727807
87	0.8688647833
88	0.868763751
89	0.8686501009
90	0.8685528819
91	0.8684582995
92	0.8683663334
93	0.8682589678
94	0.86816609
95	0.8680622985
96	0.8679557061
97	0.8678626692
98	0.8677587919
99	0.8676574437
100	0.8675651102
101	0.8674601263
102	0.867352156
103	0.8672615435
104	0.8671697547
105	0.8670784006
106	0.8669942409
107	0.866904637
108	0.8668113098
109	0.8667361176
110	0.866646889
111	0.8665494792
112	0.8664703667
113	0.8663880767
114	0.86630187
115	0.8662155192
116	0.8661225407
117	0.8660277903
118	0.8659385713
119	0.8658638014
120	0.8657757151
121	0.8656933438
122	0.8656086412
123	0.8655269661
124	0.8654475077
125	0.8653602274
126	0.8652846741
127	0.8652116426
128	0.8651278304
129	0.8650437107
130	0.8649552045
131	0.8648867212
132	0.8648139628
133	0.8647363065
134	0.8646578374
135	0.8645829786
136	0.8645087572
137	0.8644291329
138	0.864360379
139	0.8642833345
140	0.8642039318
141	0.8641241205
142	0.8640478292
143	0.8639811557
144	0.8639038343
145	0.8638226921
146	0.8637551375
147	0.8636939368
148	0.8636349483
149	0.8635581211
150	0.863482977
151	0.8634104242
152	0.8633445367
153	0.8632752713
154	0.8632111288
155	0.8631436953
156	0.8630807618
157	0.8630118133
158	0.8629472521
159	0.8628816534
160	0.8628162339
161	0.86276104
162	0.862709267
163	0.8626407812
164	0.862564993
165	0.8625004356
166	0.8624496782
167	0.8623871517
168	0.86232064
169	0.8622778492
170	0.8622235044
171	0.862167774
172	0.8621114806
173	0.8620480521
174	0.8619869249
175	0.8619343982
176	0.8618681944
177	0.8618153148
178	0.8617549569
179	0.8616997177
180	0.8616471888
181	0.8615940175
182	0.8615294323
183	0.8614787108
184	0.8614207435
185	0.8613699569
186	0.861308055
187	0.8612545748
188	0.8612104108
189	0.861155225
190	0.8611041287
191	0.8610510194
192	0.8609894068
193	0.8609366297
194	0.8608776897
195	0.8608265718
196	0.8607621056
197	0.8607121672
198	0.860654681
199	0.8606018361
200	0.8605446709
201	0.860494537
202	0.8604364936
203	0.8603755956
204	0.8603245629
205	0.8602708237
206	0.8602202566
207	0.8601689483
208	0.8601181244
209	0.8600729173
210	0.8600196715
211	0.8599716548
212	0.859914549
213	0.8598673676
214	0.8598227266
215	0.8597795102
