iter	Passed	Remaining
0	40	40552
1	71	35697
2	104	34787
3	133	33327
4	161	32101
5	189	31471
6	220	31301
7	254	31572
8	285	31383
9	323	32059
10	382	34419
11	444	36594
12	525	39905
13	574	40442
14	617	40516
15	646	39756
16	677	39174
17	707	38583
18	735	37996
19	763	37409
20	795	37076
21	832	37029
22	889	37802
23	943	38377
24	1008	39312
25	1066	39947
26	1124	40530
27	1181	41014
28	1230	41202
29	1271	41099
30	1301	40668
31	1331	40266
32	1360	39874
33	1388	39445
34	1418	39115
35	1449	38816
36	1495	38917
37	1547	39177
38	1601	39460
39	1660	39862
40	1714	40102
41	1768	40347
42	1799	40047
43	1829	39760
44	1859	39465
45	1889	39178
46	1915	38832
47	1942	38519
48	1970	38253
49	1997	37949
50	2031	37807
51	2061	37578
52	2090	37347
53	2117	37097
54	2145	36857
55	2174	36650
56	2203	36460
57	2234	36290
58	2261	36066
59	2288	35847
60	2318	35684
61	2346	35506
62	2374	35312
63	2401	35122
64	2429	34942
65	2459	34804
66	2487	34633
67	2518	34518
68	2545	34349
69	2574	34198
70	2602	34050
71	2631	33916
72	2660	33790
73	2692	33687
74	2723	33588
75	2754	33489
76	2811	33697
77	2859	33797
78	2907	33897
79	2996	34461
80	3052	34633
81	3080	34482
82	3107	34335
83	3137	34209
84	3164	34063
85	3191	33919
86	3219	33781
87	3248	33667
88	3275	33527
89	3304	33411
90	3332	33290
91	3359	33157
92	3385	33016
93	3414	32910
94	3443	32801
95	3471	32694
96	3499	32573
97	3528	32476
98	3555	32359
99	3587	32286
100	3612	32154
101	3639	32044
102	3666	31933
103	3694	31827
104	3720	31713
105	3749	31622
106	3777	31525
107	3806	31442
108	3833	31338
109	3861	31245
110	3890	31162
111	3919	31078
112	3949	31001
113	3976	30908
114	4004	30819
115	4033	30740
116	4062	30660
117	4088	30562
118	4115	30471
119	4160	30509
120	4191	30450
121	4218	30362
122	4245	30267
123	4273	30186
124	4301	30113
125	4330	30037
126	4358	29958
127	4384	29868
128	4412	29794
129	4441	29722
130	4472	29666
131	4501	29602
132	4528	29518
133	4556	29445
134	4581	29354
135	4608	29276
136	4637	29211
137	4673	29194
138	4728	29288
139	4784	29389
140	4839	29481
141	4893	29569
142	4943	29625
143	4981	29610
144	5016	29582
145	5047	29524
146	5077	29464
147	5107	29402
148	5156	29450
149	5217	29564
150	5281	29697
151	5339	29790
152	5390	29842
153	5448	29933
154	5504	30009
155	5544	29999
156	5577	29950
157	5607	29881
158	5638	29825
159	5682	29833
160	5732	29874
161	5788	29944
162	5851	30047
163	5909	30123
164	5966	30196
165	6011	30200
166	6058	30220
167	6119	30303
168	6188	30428
169	6252	30528
170	6319	30635
171	6372	30675
172	6402	30607
173	6432	30535
174	6461	30461
175	6489	30384
176	6520	30317
177	6548	30240
178	6577	30168
179	6605	30090
180	6632	30012
181	6660	29935
182	6690	29867
183	6721	29809
184	6750	29737
185	6776	29656
186	6804	29582
187	6834	29519
188	6861	29444
